"","gene","term","estimate","statistic","p.value","lod","fdr"
"44","204766_s_at","sensitive",-0.780343024368839,-9.54386196750506,4.58687725607932e-06,4.60825971757046,0.005606040171858
"45","222606_at","sensitive",-0.881925554646777,-9.53575481687973,4.6197736385953e-06,4.60209594188027,0.005606040171858
"46","200783_s_at","sensitive",-0.74084470504234,-9.51226567410197,4.71655871797838e-06,4.58420163468915,0.005606040171858
"47","204162_at","sensitive",-1.39620653625659,-9.43036862044555,5.07184480173053e-06,4.52139311355333,0.00587235722670549
"48","202580_x_at","sensitive",-0.934274483039387,-9.41201687979765,5.15543021274556e-06,4.5072290627256,0.00587235722670549
"49","204767_s_at","sensitive",-0.861068847879348,-9.35189993158292,5.44002018837785e-06,4.46059832586832,0.00605495286756981
"50","226661_at","sensitive",-0.894922826039425,-9.33215510630905,5.53722255836288e-06,4.44520502300784,0.00605495286756981
"51","202503_s_at","sensitive",-1.17419684884118,-9.27054650123868,5.85299349313734e-06,4.39692490001945,0.00612203032184279
"52","203967_at","sensitive",-1.01688808372719,-9.26650141408407,5.87440792573217e-06,4.39374166586829,0.00612203032184279
"53","204825_at","sensitive",-0.951916966181444,-9.23349063114486,6.0524173979168e-06,4.36770281329057,0.00612203032184279
"54","226403_at","sensitive",0.71764841929372,9.21981033224759,6.12791765808247e-06,4.35687967257555,0.00612203032184279
"55","201202_at","sensitive",-0.795009631951641,-9.21433569957029,6.15842099133705e-06,4.35254313741326,0.00612203032184279
"56","235266_at","sensitive",-0.931651798515298,-9.18145781308496,6.34515417192748e-06,4.32643631161108,0.00619041939952996
"57","1554768_a_at","sensitive",-1.21018551263055,-9.16283779563203,6.45366082804221e-06,4.31160236965098,0.00619041939952996
"58","205393_s_at","sensitive",-1.02913628013792,-9.12446370175149,6.68376880552626e-06,4.28091959095775,0.00630060447314049
"59","218741_at","sensitive",-0.927097961681788,-9.0799926915354,6.96177413428567e-06,4.24517325710961,0.006451440691391
"60","203968_s_at","sensitive",-0.866348446643279,-9.04311295472445,7.20196823091634e-06,4.21537435288562,0.00656279355042251
"61","218349_s_at","sensitive",-0.974494152758293,-9.01572457981227,7.38623387601842e-06,4.19315334215627,0.00656494481489857
"62","205436_s_at","sensitive",-0.861784222980042,-8.98311012804155,7.61244282492698e-06,4.16659043907778,0.00656494481489857
