"","gene","term","estimate","statistic","p.value","lod","fdr"
"43","226533_at","sensitive",0.7440867917094,5.83808753985206,2.82432754780726e-05,2.71565045655106,0.00304524995515028
"44","212805_at","sensitive",0.598727698232296,5.72769421746662,3.47661210748541e-05,2.51481931919925,0.0034411348192227
"45","212687_at","sensitive",0.751170214387248,5.69593618843759,3.69188583747763e-05,2.45671948613861,0.00353327486356102
"46","223047_at","sensitive",0.663874848832491,5.52664493701216,5.09702014312355e-05,2.14460280059635,0.00420041509897065
"47","229768_at","sensitive",0.817838202275613,5.50952821601089,5.26707502905954e-05,2.11282270347303,0.00430459382980314
"48","212115_at","sensitive",0.594460965768261,5.48254032335201,5.54722913045351e-05,2.06263326267698,0.00439557612619631
"49","232615_at","sensitive",0.614430085430327,5.38773252852822,6.65987050092121e-05,1.88553335713809,0.00486152763201425
"50","227001_at","sensitive",0.585321118511062,5.32939404765002,7.45702631659197e-05,1.77595867151435,0.00526200267367744
"51","225256_at","sensitive",0.704739242553393,5.22914834519135,9.06509032990796e-05,1.58662951711006,0.00592607905263857
"52","212122_at","sensitive",0.799299869105297,5.20025386885808,9.592183592714e-05,1.53181789680409,0.00611250160759485
"53","222487_s_at","sensitive",0.593927820821087,5.18424641019811,9.8977115058982e-05,1.50140689050801,0.00627792780261002
"54","201552_at","sensitive",0.611692055573961,5.18186663362204,9.94398360998351e-05,1.49688302895144,0.00629996875870044
"55","227029_at","sensitive",0.707867680040757,5.17295444884371,0.000101192638156398,1.47993499670872,0.00636223222621816
"56","238030_at","sensitive",0.680854191859077,5.08413143447355,0.000120506090959545,1.31048427553685,0.00691361020274202
"57","222121_at","sensitive",0.665148337436563,4.94455232946774,0.000158870156793343,1.04228648338617,0.00796171019493679
"58","225785_at","sensitive",0.626154054372169,4.88111923987418,0.000180266947786913,0.919659046612145,0.00865864630569918
"59","AFFX-HUMRGE/M10098_5_at","sensitive",0.802070063940786,4.82777931235252,0.000200544420567334,0.81619946119531,0.00912210165933361
"60","238722_x_at","sensitive",0.605856286864837,4.75647346505656,0.000231371353421079,0.677418828204599,0.00987527615011515
"61","224800_at","sensitive",0.994924470356426,4.6736188536573,0.000273376735040023,0.51550902837368,0.0107531460347577
"62","212109_at","sensitive",0.586392462869888,4.57877594202058,0.000331185446627532,0.329361008634209,0.0117862095760071
"63","202234_s_at","sensitive",0.70863858391759,4.56581247906697,0.000340007379939042,0.303853672289947,0.0118707742995711
"64","231711_at","sensitive",0.945439532671738,4.53448366075522,0.000362334011657179,0.242149065732121,0.0123430604905646
"65","227121_at","sensitive",0.667965075571751,4.5315349775463,0.000364511199480453,0.236337020725923,0.0123648698719833
"66","214429_at","sensitive",0.793086500868271,4.49765524055442,0.000390508237734834,0.169504991266953,0.0127280565319811
"67","235003_at","sensitive",0.70852306876689,4.47391375102614,0.000409849105344304,0.122615110498189,0.0130206274460778
"68","228345_at","sensitive",0.592226061483503,4.39408614135678,0.000482363493479541,-0.0353728259266406,0.0142480950869767
"69","203649_s_at","sensitive",0.66033215189086,4.30473877539711,0.000579220092821706,-0.21275483308646,0.0159300093435748
"70","AFFX-HUMRGE/M10098_M_at","sensitive",0.62306655989997,4.18202782291172,0.000745475175580768,-0.457202956440017,0.0182616901307982
"71","213158_at","sensitive",0.850486046937358,4.11246067688041,0.000860536910758349,-0.596145302178929,0.019877421037479
"72","242691_at","sensitive",0.612855828645885,4.10587694027569,0.00087232059245515,-0.609306251730387,0.0199990990112907
"73","208596_s_at","sensitive",0.585951642479627,4.07724358700972,0.00092550433563827,-0.66656594322763,0.0208158158439716
"74","243332_at","sensitive",0.87854040095056,4.06699796900783,0.000945323902475022,-0.687062744755842,0.0210786907827354
"75","242134_at","sensitive",0.606266441460432,4.03043422667308,0.00101963039248595,-0.760242173559003,0.0218421253394802
"76","AFFX-HUMRGE/M10098_3_at","sensitive",0.600519511810082,3.89768441584923,0.00134281589408753,-1.02626650578914,0.0252895439196739
