"","gene","term","estimate","statistic","p.value","lod","fdr"
"17","212459_x_at","sensitive",1.05905515635326,12.6723506586874,1.50373355838293e-06,5.7026455645762,0.00435392727103236
"18","226789_at","sensitive",0.877458333690182,12.6313636691018,1.5412462103346e-06,5.68247324949677,0.00435392727103236
"19","215772_x_at","sensitive",0.956374520138457,12.6212655254318,1.55064857435193e-06,5.67748905527198,0.00435392727103236
"20","213027_at","sensitive",1.04006587875751,12.5581653102128,1.61087692109918e-06,5.6462160584486,0.00435392727103236
"21","214157_at","sensitive",-0.878443451554345,-12.496488375847,1.67229030986154e-06,5.61543335618748,0.00435392727103236
"22","212327_at","sensitive",-0.825261150240215,-12.4124036885064,1.76028454055218e-06,5.57312114441291,0.00437470714794048
"23","212687_at","sensitive",1.11788675834054,12.3076608435754,1.87723647084447e-06,5.51984883374495,0.00446251756710527
"24","212120_at","sensitive",1.13561442793291,12.1888281685619,2.02058144042754e-06,5.45864087696088,0.00451398625984651
"25","214429_at","sensitive",1.1396894852517,12.0880656344477,2.15177504374134e-06,5.40608972773474,0.00451398625984651
"26","213295_at","sensitive",0.830086609058532,12.0811715539448,2.16109401140179e-06,5.40247216724143,0.00451398625984651
"27","230069_at","sensitive",0.912958039160001,12.0318273282355,2.22912901720815e-06,5.37649647193785,0.00451398625984651
"28","226158_at","sensitive",1.03830556005164,11.8741757080194,2.46309865435188e-06,5.29251881528945,0.00480963996166746
"29","217681_at","sensitive",-0.944815622775497,-11.7278903224298,2.70502547598432e-06,5.21322833178219,0.00509990578963595
"30","238469_at","sensitive",-0.997475692620605,-11.6053496330863,2.92826442614102e-06,5.14577430596072,0.00527833637049664
"31","214835_s_at","sensitive",1.04891418658592,11.5718927062866,2.99274673041419e-06,5.12719137339622,0.00527833637049664
"32","224782_at","sensitive",-0.649446380113796,-11.5145255254984,3.10704451327361e-06,5.09516043370775,0.00530867683635107
"33","212325_at","sensitive",-0.82489861743199,-11.3268224905735,3.51658081945757e-06,4.98885722789221,0.00550455464436185
"34","208848_at","sensitive",0.639863499388191,11.2600648507237,3.67652886243994e-06,4.9504878844713,0.00550455464436185
"35","200821_at","sensitive",1.87659591175007,11.2242655178771,3.76564453341267e-06,4.92978883630931,0.00550455464436185
"36","218197_s_at","sensitive",-0.997831900984542,-11.2084600490605,3.80575626594659e-06,4.92062264998047,0.00550455464436185
"37","225846_at","sensitive",0.705437225473217,11.1483748611196,3.96266545208338e-06,4.88562230302647,0.00550455464436185
"38","222834_s_at","sensitive",0.742540120554274,11.1112882115167,4.06312186113133e-06,4.86389596259608,0.00550455464436185
"39","200613_at","sensitive",-0.957012566204466,-11.1064673470577,4.07638808985544e-06,4.86106484765307,0.00550455464436185
"40","218563_at","sensitive",-0.861530086417974,-11.0740371933142,4.16690018942914e-06,4.84197826294108,0.00550455464436185
"41","217492_s_at","sensitive",-0.697892770985488,-11.0414624820665,4.26008507245049e-06,4.82273350894451,0.00550455464436185
"42","214263_x_at","sensitive",-0.591188329604704,-10.9830768892302,4.43299768471062e-06,4.78805557773911,0.00550455464436185
"43","215034_s_at","sensitive",-0.645622487147056,-10.9715756645439,4.46797697248413e-06,4.78119641297851,0.00550455464436185
"44","203303_at","sensitive",0.677283355981627,10.9256327425659,4.61081849004487e-06,4.75370409616857,0.00550455464436185
"45","223641_at","sensitive",0.791927377290066,10.9006784880636,4.69053983382237e-06,4.73870909280913,0.00550455464436185
"46","222487_s_at","sensitive",0.811393488859189,10.8879325921305,4.73185310077745e-06,4.73103308761072,0.00550455464436185
