"","gene","term","estimate","statistic","p.value","lod","fdr"
"39","208996_s_at","sensitive",-0.612950057841388,-6.96745050652077,3.7085970963148e-06,4.66556678876841,0.000998854907591191
"40","212449_s_at","sensitive",-0.760849246875835,-6.92370134363001,3.99902693386045e-06,4.59364530758433,0.00104615692635799
"41","231871_at","sensitive",-0.611958235693563,-6.87489817840676,4.35125846827553e-06,4.51307030382905,0.00108722475731545
"42","1552767_a_at","sensitive",-0.658982790244277,-6.8744201654661,4.35486459720317e-06,4.51227929483861,0.00108722475731545
"43","209702_at","sensitive",-0.757429731532479,-6.83195149686134,4.68805238355599e-06,4.44186333182742,0.00113415603571205
"44","225971_at","sensitive",-0.653904997786798,-6.82401002471877,4.75325917476093e-06,4.42866522092463,0.00113984405868445
"45","216977_x_at","sensitive",-0.609951934887949,-6.78136777674997,5.11997196953133e-06,4.3576321671083,0.00118616299760223
"46","205771_s_at","sensitive",-0.599702550776347,-6.77761508758533,5.15362918080279e-06,4.35136765791959,0.00118729449857086
"47","204976_s_at","sensitive",-0.61190210840719,-6.49768872090683,8.44763640949537e-06,3.87800425059606,0.00158176205715466
"48","202679_at","sensitive",-0.609091186956689,-6.44481859241466,9.2852879690973e-06,3.78725581505526,0.00165906248271371
"49","233078_at","sensitive",-0.6866785754795,-6.43256498193715,9.49151690966974e-06,3.766162429502,0.00167868077488671
"50","228153_at","sensitive",-0.759674754447838,-6.38386315777372,1.03595722537348e-05,3.68210115159303,0.00175903606513339
"51","235549_at","sensitive",-0.746136332992855,-6.33876559575827,1.12372892152482e-05,3.60393952871312,0.00183965499332319
"52","217681_at","sensitive",-0.647046258628135,-6.28065672064068,1.24839068838152e-05,3.50277236028853,0.00193359095997902
"53","212222_at","sensitive",-0.64815114814565,-6.21353332172166,1.41051594486002e-05,3.38527531522616,0.0020731171850866
"54","205393_s_at","sensitive",-0.700606551550354,-6.18316175026995,1.49093869880595e-05,3.3318877312434,0.00212284045201082
"55","201555_at","sensitive",-0.751412447496526,-6.09335913603048,1.75786682800238e-05,3.17322099154532,0.00238348325714009
"56","219582_at","sensitive",-0.623337551837401,-6.01479129557952,2.0321547540605e-05,3.03341584058851,0.00258993149599668
"57","206023_at","sensitive",-0.73271006834637,-6.00038315012094,2.08710531519522e-05,3.00767811997511,0.00262621541145274
"58","1554696_s_at","sensitive",-0.76043553385072,-5.99211794988081,2.11932276127027e-05,2.99289984675973,0.00263005513650916
"59","218073_s_at","sensitive",-0.621019136733465,-5.62037565133749,4.26149803749678e-05,2.31790855840262,0.00379474601303154
"60","223519_at","sensitive",-0.725192285068914,-5.50280488740002,5.33546880543629e-05,2.10032866648337,0.00434102316870877
"61","205347_s_at","sensitive",-0.645759713489467,-5.22646627875084,9.11273234563668e-05,1.58154622211826,0.00593141239282959
"62","1555905_a_at","sensitive",-0.635900366362444,-5.22149482044505,9.2017261129116e-05,1.57212143774623,0.00596095231307395
"63","211080_s_at","sensitive",-0.945241841108179,-5.14932042659668,0.000105996901737629,1.43494278302983,0.00648147731288826
"64","217010_s_at","sensitive",-0.732124238628514,-5.14211712766774,0.000107507489721986,1.42121599731806,0.00649499668569017
"65","200613_at","sensitive",-0.667630627543163,-4.96891638810953,0.000151362704078941,1.08926546966607,0.00776337321342975
"66","202016_at","sensitive",-0.697575651778656,-4.95399045771443,0.000155917461756195,1.06049323245872,0.00791340998018095
"67","204822_at","sensitive",-0.991096623173035,-4.87316121730802,0.00018315309126408,0.904243139678401,0.00869979048969152
"68","217540_at","sensitive",-0.631135805374714,-4.86785897174309,0.000185102394705729,0.893968016943337,0.0087222467016223
"69","232278_s_at","sensitive",-0.801114271883987,-4.7664555960473,0.00022677855105763,0.696878667191779,0.00976308447171334
"70","226936_at","sensitive",-0.665409810749133,-4.65622461733802,0.000283146472526383,0.481432602688748,0.010856264646129
"71","216228_s_at","sensitive",-0.643304925169975,-4.63698809426386,0.00029436858128023,0.443713442136827,0.0110702481054837
"72","210052_s_at","sensitive",-0.722467496138824,-4.59980275207304,0.000317371405230805,0.370702017091661,0.0115220993233694
"73","211519_s_at","sensitive",-0.593050715261717,-4.58614471158402,0.000326275628925898,0.34385335353588,0.0117054593251466
"74","225665_at","sensitive",-0.703277131310429,-4.58035550031454,0.000330126654441511,0.332467975748379,0.0117804244260949
"75","204709_s_at","sensitive",-0.739980980427723,-4.48515944413534,0.000400568691757897,0.144831306093512,0.0128523911486614
"76","236641_at","sensitive",-0.834289698932012,-4.48485138641335,0.000400820030543393,0.144222866159393,0.0128523911486614
